2018-08-05 00:29:35,889              precision    recall  f1-score   support

          2       0.36      0.59      0.45       947
          3       0.50      0.54      0.52       867
          4       0.43      0.20      0.28       964
          5       0.43      0.35      0.39       939
          6       0.34      0.45      0.39       884
          7       0.44      0.57      0.50       949
          8       0.30      0.11      0.16       844

avg / total       0.40      0.40      0.38      6394

2018-08-05 00:29:36,364              precision    recall  f1-score   support

          2       0.60      0.66      0.63        32
          3       0.50      0.72      0.59        32
          4       0.62      0.25      0.36        32
          5       0.45      0.53      0.49        32
          6       0.40      0.66      0.50        32
          7       0.58      0.69      0.63        32
          8       0.50      0.03      0.06        32

avg / total       0.52      0.50      0.46       224

