2018-08-05 03:29:48,802              precision    recall  f1-score   support

          2       0.41      0.53      0.46       947
          3       0.53      0.50      0.51       867
          4       0.34      0.38      0.36       964
          5       0.50      0.43      0.46       939
          6       0.30      0.35      0.32       884
          7       0.49      0.57      0.53       949
          8       0.36      0.12      0.18       844

avg / total       0.42      0.42      0.41      6394

2018-08-05 03:29:49,356              precision    recall  f1-score   support

          2       0.53      0.50      0.52        32
          3       0.59      0.72      0.65        32
          4       0.37      0.50      0.43        32
          5       0.45      0.47      0.46        32
          6       0.35      0.56      0.43        32
          7       0.85      0.69      0.76        32
          8       0.00      0.00      0.00        32

avg / total       0.45      0.49      0.46       224

