2018-08-05 03:13:55,746              precision    recall  f1-score   support

          2       0.51      0.45      0.48       947
          3       0.56      0.55      0.56       867
          4       0.39      0.39      0.39       964
          5       0.40      0.50      0.44       939
          6       0.38      0.42      0.40       884
          7       0.43      0.64      0.51       949
          8       0.28      0.06      0.10       844

avg / total       0.42      0.43      0.41      6394

2018-08-05 03:13:56,614              precision    recall  f1-score   support

          2       0.88      0.44      0.58        32
          3       0.68      0.78      0.72        32
          4       0.61      0.53      0.57        32
          5       0.54      0.84      0.66        32
          6       0.42      0.69      0.52        32
          7       0.60      0.75      0.67        32
          8       0.00      0.00      0.00        32

avg / total       0.53      0.58      0.53       224

