2018-08-05 04:01:50,437              precision    recall  f1-score   support

          2       0.46      0.59      0.52       947
          3       0.59      0.55      0.57       867
          4       0.44      0.41      0.42       964
          5       0.45      0.38      0.41       939
          6       0.32      0.49      0.39       884
          7       0.45      0.54      0.49       949
          8       0.24      0.06      0.09       844

avg / total       0.42      0.43      0.42      6394

2018-08-05 04:01:50,991              precision    recall  f1-score   support

          2       0.78      0.66      0.71        32
          3       0.72      0.72      0.72        32
          4       0.68      0.59      0.63        32
          5       0.46      0.69      0.55        32
          6       0.37      0.75      0.49        32
          7       0.82      0.56      0.67        32
          8       0.00      0.00      0.00        32

avg / total       0.55      0.57      0.54       224

