2018-08-05 04:34:46,014              precision    recall  f1-score   support

          2       0.40      0.50      0.45       947
          3       0.57      0.58      0.58       867
          4       0.41      0.39      0.40       964
          5       0.44      0.43      0.43       939
          6       0.35      0.43      0.39       884
          7       0.46      0.59      0.52       949
          8       0.23      0.06      0.09       844

avg / total       0.41      0.43      0.41      6394

2018-08-05 04:34:46,452              precision    recall  f1-score   support

          2       0.57      0.53      0.55        32
          3       0.72      0.81      0.76        32
          4       0.56      0.56      0.56        32
          5       0.55      0.72      0.62        32
          6       0.37      0.56      0.44        32
          7       0.64      0.66      0.65        32
          8       0.00      0.00      0.00        32

avg / total       0.49      0.55      0.51       224

