2018-08-05 05:34:52,861              precision    recall  f1-score   support

          2       0.39      0.58      0.47       947
          3       0.57      0.50      0.53       867
          4       0.49      0.39      0.43       964
          5       0.49      0.35      0.41       939
          6       0.35      0.49      0.41       884
          7       0.43      0.58      0.49       949
          8       0.29      0.10      0.15       844

avg / total       0.43      0.43      0.42      6394

2018-08-05 05:34:53,324              precision    recall  f1-score   support

          2       0.58      0.66      0.62        32
          3       0.66      0.66      0.66        32
          4       0.71      0.62      0.67        32
          5       0.57      0.50      0.53        32
          6       0.34      0.72      0.46        32
          7       0.63      0.59      0.61        32
          8       0.33      0.03      0.06        32

avg / total       0.55      0.54      0.52       224

