2018-08-05 06:20:04,849              precision    recall  f1-score   support

          2       0.45      0.57      0.50       947
          3       0.59      0.52      0.56       867
          4       0.39      0.41      0.40       964
          5       0.51      0.36      0.42       939
          6       0.36      0.52      0.42       884
          7       0.44      0.60      0.51       949
          8       0.29      0.05      0.09       844

avg / total       0.43      0.44      0.42      6394

2018-08-05 06:20:05,480              precision    recall  f1-score   support

          2       0.80      0.62      0.70        32
          3       0.74      0.81      0.78        32
          4       0.63      0.59      0.61        32
          5       0.55      0.53      0.54        32
          6       0.37      0.72      0.48        32
          7       0.55      0.66      0.60        32
          8       0.00      0.00      0.00        32

avg / total       0.52      0.56      0.53       224

