2018-08-05 06:22:28,651              precision    recall  f1-score   support

          2       0.41      0.50      0.45       947
          3       0.57      0.51      0.54       867
          4       0.37      0.45      0.41       964
          5       0.50      0.38      0.43       939
          6       0.35      0.50      0.41       884
          7       0.46      0.60      0.52       949
          8       0.40      0.04      0.07       844

avg / total       0.44      0.43      0.41      6394

2018-08-05 06:22:29,204              precision    recall  f1-score   support

          2       0.56      0.56      0.56        32
          3       0.68      0.72      0.70        32
          4       0.53      0.56      0.55        32
          5       0.59      0.72      0.65        32
          6       0.39      0.69      0.50        32
          7       0.76      0.69      0.72        32
          8       0.00      0.00      0.00        32

avg / total       0.50      0.56      0.52       224

