2018-08-05 07:07:36,119              precision    recall  f1-score   support

          2       0.41      0.62      0.50       947
          3       0.56      0.55      0.55       867
          4       0.43      0.40      0.42       964
          5       0.43      0.38      0.40       939
          6       0.38      0.48      0.42       884
          7       0.48      0.54      0.51       949
          8       0.27      0.07      0.11       844

avg / total       0.43      0.44      0.42      6394

2018-08-05 07:07:36,792              precision    recall  f1-score   support

          2       0.61      0.72      0.66        32
          3       0.68      0.81      0.74        32
          4       0.53      0.53      0.53        32
          5       0.49      0.53      0.51        32
          6       0.42      0.78      0.55        32
          7       0.85      0.53      0.65        32
          8       0.00      0.00      0.00        32

avg / total       0.51      0.56      0.52       224

