2018-08-05 06:57:24,598              precision    recall  f1-score   support

          2       0.20      0.61      0.30        90
          3       0.52      0.20      0.29        79
          4       0.38      0.50      0.43       108
          5       0.26      0.14      0.19        69
          6       0.67      0.07      0.12        60
          7       0.39      0.28      0.33        47
          8       0.33      0.01      0.02        81

avg / total       0.38      0.29      0.25       534

