2018-08-05 08:05:45,990              precision    recall  f1-score   support

          2       0.49      0.54      0.51       947
          3       0.58      0.58      0.58       867
          4       0.44      0.47      0.45       964
          5       0.47      0.38      0.42       939
          6       0.36      0.47      0.41       884
          7       0.48      0.67      0.56       949
          8       0.29      0.07      0.12       844

avg / total       0.44      0.46      0.44      6394

2018-08-05 08:05:46,575              precision    recall  f1-score   support

          2       0.80      0.62      0.70        32
          3       0.69      0.75      0.72        32
          4       0.57      0.53      0.55        32
          5       0.59      0.69      0.64        32
          6       0.41      0.75      0.53        32
          7       0.72      0.81      0.76        32
          8       0.00      0.00      0.00        32

avg / total       0.54      0.59      0.56       224

