2018-08-05 19:30:08,592              precision    recall  f1-score   support

          2       0.40      0.46      0.43       947
          3       0.53      0.67      0.59       867
          4       0.41      0.41      0.41       964
          5       0.53      0.45      0.49       939
          6       0.39      0.45      0.42       884
          7       0.45      0.57      0.50       949
          8       0.30      0.07      0.12       844

avg / total       0.43      0.44      0.43      6394

2018-08-05 19:30:09,062              precision    recall  f1-score   support

          2       0.59      0.50      0.54        32
          3       0.64      0.94      0.76        32
          4       0.60      0.47      0.53        32
          5       0.54      0.66      0.59        32
          6       0.40      0.66      0.49        32
          7       0.65      0.62      0.63        32
          8       0.00      0.00      0.00        32

avg / total       0.49      0.55      0.51       224

