2018-08-05 19:06:44,141              precision    recall  f1-score   support

          2       0.28      0.24      0.26       947
          3       0.49      0.63      0.55       867
          4       0.37      0.27      0.31       964
          5       0.52      0.23      0.32       939
          6       0.19      0.42      0.27       884
          7       0.37      0.33      0.35       949
          8       0.27      0.18      0.22       844

avg / total       0.36      0.33      0.32      6394

2018-08-05 19:06:44,992              precision    recall  f1-score   support

          2       0.50      0.25      0.33        32
          3       0.62      0.91      0.73        32
          4       0.53      0.25      0.34        32
          5       0.52      0.38      0.44        32
          6       0.17      0.53      0.26        32
          7       0.44      0.25      0.32        32
          8       0.50      0.09      0.16        32

avg / total       0.47      0.38      0.37       224

