2018-08-06 11:56:53,135              precision    recall  f1-score   support

          2       0.39      0.50      0.44       947
          3       0.51      0.60      0.55       867
          4       0.46      0.35      0.40       964
          5       0.52      0.37      0.43       939
          6       0.32      0.43      0.37       884
          7       0.45      0.61      0.51       949
          8       0.31      0.11      0.16       844

avg / total       0.42      0.43      0.41      6394

2018-08-06 11:56:53,743              precision    recall  f1-score   support

          2       0.59      0.53      0.56        32
          3       0.59      0.81      0.68        32
          4       0.70      0.44      0.54        32
          5       0.70      0.72      0.71        32
          6       0.37      0.66      0.47        32
          7       0.63      0.75      0.69        32
          8       0.33      0.03      0.06        32

avg / total       0.56      0.56      0.53       224

