2018-08-06 12:25:41,655              precision    recall  f1-score   support

          2       0.40      0.54      0.46       947
          3       0.56      0.57      0.56       867
          4       0.46      0.41      0.44       964
          5       0.41      0.46      0.43       939
          6       0.40      0.39      0.39       884
          7       0.46      0.60      0.52       949
          8       0.26      0.07      0.11       844

avg / total       0.42      0.44      0.42      6394

2018-08-06 12:25:42,187              precision    recall  f1-score   support

          2       0.62      0.56      0.59        32
          3       0.72      0.97      0.83        32
          4       0.64      0.66      0.65        32
          5       0.50      0.66      0.57        32
          6       0.46      0.66      0.54        32
          7       0.76      0.69      0.72        32
          8       0.00      0.00      0.00        32

avg / total       0.53      0.60      0.56       224

