2018-08-06 15:23:56,173              precision    recall  f1-score   support

          2       0.40      0.51      0.45       947
          3       0.50      0.59      0.54       867
          4       0.44      0.37      0.40       964
          5       0.42      0.36      0.39       939
          6       0.34      0.41      0.37       884
          7       0.43      0.58      0.49       949
          8       0.30      0.07      0.11       844

avg / total       0.41      0.42      0.40      6394

2018-08-06 15:23:56,615              precision    recall  f1-score   support

          2       0.72      0.56      0.63        32
          3       0.59      0.81      0.68        32
          4       0.59      0.50      0.54        32
          5       0.36      0.47      0.41        32
          6       0.35      0.56      0.43        32
          7       0.62      0.62      0.62        32
          8       0.00      0.00      0.00        32

avg / total       0.46      0.50      0.47       224

