2018-08-06 16:43:41,846              precision    recall  f1-score   support

          2       0.42      0.39      0.40       947
          3       0.49      0.59      0.54       867
          4       0.42      0.35      0.38       964
          5       0.46      0.46      0.46       939
          6       0.35      0.43      0.38       884
          7       0.40      0.61      0.49       949
          8       0.28      0.07      0.11       844

avg / total       0.40      0.42      0.40      6394

2018-08-06 16:43:42,406              precision    recall  f1-score   support

          2       0.87      0.41      0.55        32
          3       0.60      0.81      0.69        32
          4       0.64      0.50      0.56        32
          5       0.44      0.56      0.49        32
          6       0.36      0.66      0.47        32
          7       0.50      0.62      0.56        32
          8       0.00      0.00      0.00        32

avg / total       0.49      0.51      0.47       224

