2018-08-06 17:53:12,753              precision    recall  f1-score   support

          2       0.42      0.49      0.45       947
          3       0.56      0.54      0.55       867
          4       0.40      0.38      0.39       964
          5       0.54      0.40      0.46       939
          6       0.35      0.50      0.41       884
          7       0.45      0.63      0.52       949
          8       0.26      0.08      0.12       844

avg / total       0.43      0.43      0.42      6394

2018-08-06 17:53:13,309              precision    recall  f1-score   support

          2       0.82      0.56      0.67        32
          3       0.67      0.81      0.73        32
          4       0.47      0.56      0.51        32
          5       0.50      0.47      0.48        32
          6       0.37      0.72      0.49        32
          7       0.74      0.72      0.73        32
          8       0.00      0.00      0.00        32

avg / total       0.51      0.55      0.52       224

